horizon,trading_days,valid_count,avg_return,median_return,win_rate,loss_rate,std_return,best_return,worst_return
D+1,1,5459,0.0024868824930994217,0.0,0.48360505587103864,0.49551199853453015,0.050659427369744714,0.30000000000000004,-0.19867060561299854
D+2,2,5444,0.0064461771004353085,0.0012539189881856094,0.5053269654665687,0.4842027920646583,0.07185996165900475,0.687361419068736,-0.27703134996801027
D+3,3,5429,0.010975956044113475,0.003708281829418958,0.5168539325842697,0.4733836802357709,0.08656753138558768,0.7405764966740576,-0.3171974522292994
D+4,4,5413,0.015056225233835398,0.006808510638297793,0.5342693515610567,0.4570478477738777,0.10215747880843276,0.7334137515078407,-0.36815286624203825
D+5,5,5395,0.019542674495090222,0.007773851590106018,0.5375347544022243,0.45597775718257644,0.11598140530589006,0.8592706728299948,-0.42929936305732486
D+6,6,5385,0.02291338590199712,0.007822685788787531,0.5322191272051996,0.46295264623955434,0.12868547531371438,1.004712535344015,-0.42420382165605097
D+7,7,5374,0.0265892170176814,0.00904982007852051,0.5331224413844436,0.4614812058057313,0.13974984924603842,1.1550151975683889,-0.42547770700636944
D+8,8,5365,0.030583378947160393,0.01098901098901095,0.5414725069897484,0.4542404473438956,0.14987206401163328,1.1685082872928176,-0.4154195011337869
D+9,9,5355,0.033546695821274765,0.01333333333333342,0.5437908496732026,0.45210084033613446,0.15709801292905218,1.1691259931895575,-0.4285714285714286
D+10,10,5346,0.03724183685745239,0.013125052663115255,0.5409652076318743,0.4558548447437336,0.16498285986169095,1.1790193842645382,-0.42307692307692313
D+11,11,5336,0.04007561381167549,0.013711138518238464,0.5399175412293853,0.4555847076461769,0.17205479845445878,1.237704918032787,-0.4208616780045351
D+12,12,5328,0.04126033798952014,0.013509304490123664,0.5343468468468469,0.46265015015015015,0.18007510625312964,1.5311258278145696,-0.46114649681528663
D+13,13,5316,0.04381378523773058,0.014157925574797448,0.5348006019563581,0.4621896162528217,0.18845868600121266,1.3633333333333333,-0.44415243101182655
D+14,14,5306,0.04621959459087655,0.015012677453730361,0.5327930644553336,0.4647568790049001,0.19712998297138054,1.4282067645181877,-0.4853503184713376
D+15,15,5300,0.04876036189686936,0.014152143590686839,0.5313207547169811,0.4666037735849057,0.20763057069839633,1.5047862156987875,-0.4789808917197452
D+16,16,5288,0.049624951827955795,0.010347115733125078,0.522125567322239,0.4750378214826021,0.21844739325424076,1.558843308675185,-0.48280254777070064
D+17,17,5283,0.0495261153752323,0.007995431182181711,0.5152375544198372,0.48305886806738596,0.227140861742765,1.6395427034297243,-0.500891719745223
D+18,18,5274,0.05029779880321542,0.0069707097399722695,0.5138414865377323,0.4831247629882442,0.2361845582894082,1.6571229050279328,-0.5580693815987934
D+19,19,5260,0.051154590395442276,0.0048287026345241735,0.5131178707224334,0.4859315589353612,0.2458607588065416,1.7409217877094973,-0.543613707165109
D+20,20,5251,0.05174038954939867,0.003539823008849474,0.5056179775280899,0.4915254237288136,0.2544419411099431,1.8019145802650955,-0.601360544217687
D+21,21,5238,0.0525800642555374,0.0026637844862584803,0.504581901489118,0.4921725849560901,0.2611987054951639,1.890279823269514,-0.5975274725274725
D+22,22,5227,0.05367632279454014,0.0,0.49837382819973214,0.49913908551750524,0.269520481566624,1.9269230769230767,-0.568694798822375
