source_rank,ticker,name,market,market_cap,trading_value,volume
1,005930,삼성전자,KOSPI,20695826.0,15404259.0,42713286.0
2,000660,SK하이닉스,KOSPI,19699093.0,19613614.0,7037272.0
3,402340,SK스퀘어,KOSPI,2348859.0,2677016.0,1488102.0
4,005935,삼성전자우,KOSPI,1781264.0,1396678.0,6141800.0
5,009150,삼성전기,KOSPI,1695547.0,3886730.0,1696640.0
6,005380,현대차,KOSPI,1255165.0,1094208.0,1805206.0
7,032830,삼성생명,KOSPI,994000.0,332571.0,668679.0
8,373220,LG에너지솔루션,KOSPI,946530.0,302829.0,746415.0
9,028260,삼성물산,KOSPI,797054.0,702284.0,1374021.0
10,329180,HD현대중공업,KOSPI,700091.0,359738.0,540413.0
11,207940,삼성바이오로직스,KOSPI,636038.0,133512.0,96783.0
12,034020,두산에너빌리티,KOSPI,627109.0,427653.0,4389382.0
13,000270,기아,KOSPI,604750.0,208469.0,1328726.0
14,012450,한화에어로스페이스,KOSPI,578541.0,512728.0,456012.0
15,105560,KB금융,KOSPI,561471.0,344942.0,2176538.0
16,012330,현대모비스,KOSPI,555283.0,552233.0,897399.0
17,034730,SK,KOSPI,524920.0,335825.0,461966.0
18,055550,신한지주,KOSPI,478926.0,190397.0,1886593.0
19,006400,삼성SDI,KOSPI,447250.0,527035.0,949969.0
20,042660,한화오션,KOSPI,393435.0,409988.0,3277047.0
21,267260,HD현대일렉트릭,KOSPI,388588.0,229824.0,209733.0
22,010120,LS ELECTRIC,KOSPI,388500.0,723131.0,2757464.0
23,068270,셀트리온,KOSPI,377442.0,192902.0,1136023.0
24,035420,NAVER,KOSPI,360057.0,488122.0,2095857.0
25,298040,효성중공업,KOSPI,359461.0,348786.0,89809.0
26,066570,LG전자,KOSPI,344501.0,616347.0,2863883.0
27,086790,하나금융지주,KOSPI,338844.0,126299.0,1023314.0
28,000810,삼성화재,KOSPI,312532.0,157180.0,223971.0
29,009540,HD한국조선해양,KOSPI,296539.0,155733.0,375506.0
30,005490,POSCO홀딩스,KOSPI,282496.0,192204.0,535534.0
31,042700,한미반도체,KOSPI,281171.0,1254644.0,4124752.0
32,006800,미래에셋증권,KOSPI,272789.0,197676.0,4037262.0
33,011070,LG이노텍,KOSPI,270988.0,832163.0,688856.0
34,000150,두산,KOSPI,264121.0,171178.0,105618.0
35,010130,고려아연,KOSPI,248806.0,52559.0,43994.0
36,015760,한국전력,KOSPI,243304.0,106444.0,2816956.0
37,010140,삼성중공업,KOSPI,242440.0,171055.0,6267691.0
38,051910,LG화학,KOSPI,238602.0,128865.0,382141.0
39,316140,우리금융지주,KOSPI,227931.0,88540.0,2860783.0
40,064350,현대로템,KOSPI,225925.0,121567.0,586341.0
41,017670,SK텔레콤,KOSPI,203836.0,246992.0,2613420.0
42,011200,HMM,KOSPI,190062.0,51993.0,2604432.0
43,079550,LIG디펜스앤에어로스페이스,KOSPI,187440.0,151578.0,177585.0
44,033780,KT&G,KOSPI,186859.0,55695.0,311038.0
45,267250,HD현대,KOSPI,182079.0,89736.0,387019.0
46,307950,현대오토에버,KOSPI,181547.0,134960.0,199677.0
47,138040,메리츠금융지주,KOSPI,180902.0,50611.0,469304.0
48,003670,포스코퓨처엠,KOSPI,177448.0,68914.0,344666.0
49,096770,SK이노베이션,KOSPI,173110.0,58671.0,574557.0
50,272210,한화시스템,KOSPI,172106.0,105266.0,1163314.0
51,024110,기업은행,KOSPI,171048.0,32969.0,1538581.0
52,035720,카카오,KOSPI,167136.0,77036.0,2016741.0
53,086280,현대글로비스,KOSPI,166875.0,125727.0,580523.0
54,003550,LG,KOSPI,164648.0,81617.0,761183.0
55,018260,삼성에스디에스,KOSPI,164041.0,108629.0,513945.0
56,278470,에이피알,KOSPI,144324.0,90407.0,235208.0
57,000720,현대건설,KOSPI,143204.0,127748.0,989143.0
58,047810,한국항공우주,KOSPI,142801.0,88934.0,610639.0
59,030200,KT,KOSPI,134328.0,17467.0,326459.0
60,071050,한국금융지주,KOSPI,128727.0,77687.0,336524.0
61,006260,LS,KOSPI,127920.0,105031.0,250720.0
62,010950,S-Oil,KOSPI,118550.0,37455.0,359927.0
63,005940,NH투자증권,KOSPI,114030.0,37764.0,1198037.0
64,259960,크래프톤,KOSPI,111421.0,57725.0,243129.0
65,016360,삼성증권,KOSPI,106178.0,69943.0,588729.0
66,323410,카카오뱅크,KOSPI,105682.0,27709.0,1254108.0
67,003490,대한항공,KOSPI,102918.0,108396.0,3847691.0
68,443060,HD현대마린솔루션,KOSPI,100875.0,40251.0,176995.0
69,047050,포스코인터내셔널,KOSPI,96758.0,38967.0,715574.0
70,352820,하이브,KOSPI,96334.0,52404.0,235695.0
71,028050,삼성E&A,KOSPI,95354.0,170109.0,3427709.0
72,005830,DB손해보험,KOSPI,94910.0,62272.0,429733.0
73,039490,키움증권,KOSPI,90750.0,55274.0,159024.0
74,047040,대우건설,KOSPI,87318.0,205505.0,9347205.0
75,007660,이수페타시스,KOSPI,84494.0,119578.0,1031265.0
76,005387,현대차2우B,KOSPI,84263.0,49661.0,206357.0
77,064400,LG씨엔에스,KOSPI,83128.0,125517.0,1463104.0
78,003230,삼양식품,KOSPI,83089.0,72445.0,67602.0
79,161390,한국타이어앤테크놀로지,KOSPI,82625.0,31315.0,474897.0
80,000880,한화,KOSPI,81225.0,49363.0,428690.0
81,180640,한진칼,KOSPI,80849.0,14490.0,119883.0
82,353200,대덕전자,KOSPI,77239.0,168073.0,1059658.0
83,001440,대한전선,KOSPI,74967.0,166307.0,4318345.0
84,062040,산일전기,KOSPI,72100.0,140509.0,570175.0
85,326030,SK바이오팜,KOSPI,68133.0,61532.0,707849.0
86,000990,DB하이텍,KOSPI,67911.0,143416.0,924462.0
87,034220,LG디스플레이,KOSPI,67850.0,78154.0,5862405.0
88,004170,신세계,KOSPI,67155.0,65498.0,91840.0
89,454910,두산로보틱스,KOSPI,65987.0,111338.0,1103887.0
90,267270,HD건설기계,KOSPI,65509.0,50606.0,367967.0
91,009830,한화솔루션,KOSPI,65405.0,61278.0,1640691.0
92,078930,GS,KOSPI,65027.0,26365.0,380845.0
93,241560,두산밥캣,KOSPI,62594.0,30067.0,464460.0
94,032640,LG유플러스,KOSPI,62433.0,24374.0,1657870.0
95,021240,코웨이,KOSPI,61851.0,38687.0,441067.0
96,090430,아모레퍼시픽,KOSPI,61183.0,34449.0,332061.0
97,000100,유한양행,KOSPI,60612.0,29870.0,393826.0
98,036570,NC,KOSPI,59677.0,67696.0,245818.0
99,377300,카카오페이,KOSPI,59515.0,11790.0,267595.0
100,011790,SKC,KOSPI,59320.0,110689.0,913231.0
