theme,keywords,enabled
AI,인공지능|AI 산업|AI 투자|생성형 AI|초거대 AI,1
AI반도체,AI 반도체|HBM|고대역폭메모리|NPU|AI 칩,1
데이터센터,데이터센터|데이터 센터|AI 데이터센터,1
자율주행,자율주행|ADAS|로보택시|무인차|자율주행차,1
양자기술,양자기술|양자컴퓨터|양자 컴퓨터|양자암호|양자통신,1
탄소중립,탄소중립|탄소 배출|배출권|온실가스|넷제로,1
해상풍력,해상풍력|해상 풍력|풍력발전|풍력 발전,1
원전,원전|원자력|SMR|소형모듈원자로|원전 수출,1
저출산,저출산|출산율|출산 대책|육아 지원|보육 지원|난임,1
우크라이나재건,우크라이나 재건|우크라이나 복구|전후 복구|전후 재건|휴전 협상,1
방산,방산|방위산업|무기 수출|방산 수출|국방 수출,1
로봇,로봇 산업|휴머노이드|산업용 로봇|서비스 로봇|로봇 투자,1
바이오,바이오|신약|임상 승인|임상시험|의약품,1
태양광,태양광|태양전지|태양광 발전|태양광 모듈,1
수소,수소경제|청정수소|그린수소|수소차|수소 발전,1
전기차,전기차|전기자동차|EV 배터리|충전 인프라|전기차 충전,1
