theme,ticker,name,relevance,relation_type,reason,enabled
AI,005930,삼성전자,0.78,INDIRECT,AI 연산 및 반도체 생태계 관련 초기 수동 매핑,1
AI,000660,SK하이닉스,0.82,INDIRECT,AI 서버용 메모리 수요 관련 초기 수동 매핑,1
AI반도체,000660,SK하이닉스,0.92,DIRECT,HBM 및 AI 서버 메모리 관련 초기 수동 매핑,1
AI반도체,005930,삼성전자,0.88,DIRECT,AI 반도체 및 메모리 관련 초기 수동 매핑,1
데이터센터,010120,LS ELECTRIC,0.76,INDIRECT,전력 인프라 관련 초기 수동 매핑,1
자율주행,118990,모트렉스,0.88,DIRECT,차량용 인포테인먼트 및 자율주행 관련 초기 수동 매핑,1
자율주행,396270,넥스트칩,0.9,DIRECT,차량용 반도체 및 ADAS 관련 초기 수동 매핑,1
양자기술,046970,우리로,0.82,DIRECT,양자통신 관련 초기 수동 매핑,1
양자기술,115500,케이씨에스,0.84,DIRECT,양자암호 관련 초기 수동 매핑,1
양자기술,356680,엑스게이트,0.84,DIRECT,양자보안 관련 초기 수동 매핑,1
해상풍력,112610,씨에스윈드,0.92,DIRECT,풍력 타워 관련 초기 수동 매핑,1
해상풍력,100090,SK오션플랜트,0.88,DIRECT,해상풍력 하부구조물 관련 초기 수동 매핑,1
원전,034020,두산에너빌리티,0.94,DIRECT,원전 주기기 및 발전설비 관련 초기 수동 매핑,1
원전,052690,한전기술,0.9,DIRECT,원전 설계 관련 초기 수동 매핑,1
저출산,013990,아가방컴퍼니,0.86,DIRECT,영유아 관련 초기 수동 매핑,1
저출산,407400,꿈비,0.84,DIRECT,유아용품 관련 초기 수동 매핑,1
우크라이나재건,000720,현대건설,0.78,INDIRECT,건설 및 인프라 복구 관련 초기 수동 매핑,1
우크라이나재건,317850,대모,0.8,INDIRECT,건설기계 관련 초기 수동 매핑,1
방산,012450,한화에어로스페이스,0.95,DIRECT,방산 수출 관련 초기 수동 매핑,1
방산,079550,LIG넥스원,0.94,DIRECT,유도무기 및 방산 관련 초기 수동 매핑,1
로봇,277810,레인보우로보틱스,0.94,DIRECT,로봇 플랫폼 관련 초기 수동 매핑,1
로봇,108490,로보티즈,0.9,DIRECT,로봇 액추에이터 및 서비스 로봇 관련 초기 수동 매핑,1
태양광,009830,한화솔루션,0.9,DIRECT,태양광 사업 관련 초기 수동 매핑,1
