source_id,source_name,source_type,source_grade,priority,reliability_score,market_relevance_score,directness,sector_tags,enabled
DART,OpenDART,OFFICIAL,S,1,100,100,DIRECT,DISCLOSURE|MNA|CAPEX|ORDER_CONTRACT,1
KIND,KRX KIND,OFFICIAL,S,2,100,100,DIRECT,DISCLOSURE|MARKET_NOTICE,1
MOTIR,산업통상부,GOV,S,3,98,98,DIRECT,SEMICONDUCTOR|BATTERY|EV|SHIPBUILDING|STEEL|ROBOT|GOV_POLICY,1
MSIT,과학기술정보통신부,GOV,S,4,98,95,DIRECT,AI|DATACENTER|SEMICONDUCTOR|ROBOT|QUANTUM|SPACE,1
MCEE,기후에너지환경부,GOV,S,5,98,95,DIRECT,OFFSHORE_WIND|SOLAR|HYDROGEN|ESS|POWER_GRID|NUCLEAR,1
MOLIT,국토교통부,GOV,S,6,98,92,DIRECT,CONSTRUCTION|RAILWAY|UAM|AUTOMOBILE,1
MFDS,식품의약품안전처,GOV,S,7,100,98,DIRECT,BIO|PHARMA|MEDICAL_DEVICE,1
FSC,금융위원회,GOV,S,8,99,95,DIRECT,FINANCE|SECURITIES|GOV_POLICY,1
FSS,금융감독원,GOV,S,9,99,95,DIRECT,FINANCE|SECURITIES|DISCLOSURE,1
MOEF,재정경제부,GOV,S,10,98,90,DIRECT,GOV_POLICY|FINANCE|TAX|INVESTMENT,1
DAPA,방위사업청,GOV,S,11,99,98,DIRECT,DEFENSE|ROBOT|AI|SHIPBUILDING,1
MOF,해양수산부,GOV,S,12,98,88,DIRECT,SHIPBUILDING|LOGISTICS|PORT,1
MSS,중소벤처기업부,GOV,S,13,98,85,DIRECT,VENTURE|ROBOT|AI|SME,1
PPS,조달청,GOV,S,14,98,85,DIRECT,PROCUREMENT|CONSTRUCTION|DEFENSE,1
MOIP,지식재산처,GOV,S,15,98,78,DIRECT,PATENT|TECH_TRANSFER,1
MAFRA,농림축산식품부,GOV,S,16,98,75,DIRECT,FOOD|SMART_FARM|MACHINERY,1
KOREA_POLICY,정책브리핑,GOV,S,17,96,88,SECONDARY,GOV_POLICY,1
YONHAP,연합뉴스,NEWS,A,20,92,95,SECONDARY,ECONOMY|INDUSTRY|STOCK,1
HANKYUNG,한국경제,NEWS,A,21,90,95,SECONDARY,STOCK|INDUSTRY|IT,1
MK,매일경제,NEWS,A,22,90,95,SECONDARY,STOCK|BUSINESS|INDUSTRY,1
MT,머니투데이,NEWS,A,23,88,95,SECONDARY,STOCK|INDUSTRY|BIO,1
EDAILY,이데일리,NEWS,A,24,88,95,SECONDARY,STOCK|BUSINESS|BIO,1
SED,서울경제,NEWS,A,25,87,92,SECONDARY,STOCK|INDUSTRY|BUSINESS,1
ASIAE,아시아경제,NEWS,A,26,86,90,SECONDARY,STOCK|BUSINESS|INDUSTRY,1
FNNEWS,파이낸셜뉴스,NEWS,A,27,86,90,SECONDARY,STOCK|INDUSTRY|BUSINESS,1
NEWS1,뉴스1,NEWS,A,28,88,90,SECONDARY,ECONOMY|INDUSTRY|POLICY,1
CHOSUNBIZ,조선비즈,NEWS,A,29,88,90,SECONDARY,STOCK|INDUSTRY|TECH,1
ETNEWS,전자신문,INDUSTRY,B,40,84,88,SECONDARY,SEMICONDUCTOR|AI|ROBOT|ELECTRONICS,1
ZDNET_KR,ZDNet Korea,INDUSTRY,B,41,82,85,SECONDARY,AI|SEMICONDUCTOR|DATACENTER|ROBOT,1
DDAILY,디지털데일리,INDUSTRY,B,42,82,82,SECONDARY,AI|CLOUD|SECURITY|TELECOM,1
EBN,EBN 산업경제,INDUSTRY,B,43,80,82,SECONDARY,SHIPBUILDING|STEEL|CHEMICAL|LOGISTICS,1
THEGURU,더구루,INDUSTRY,B,44,76,82,SECONDARY,OVERSEAS_ORDER|INVESTMENT|BUSINESS,1
DEALSITE,딜사이트,INDUSTRY,B,45,84,88,SECONDARY,MNA|CB|CAPITAL_RAISE|CORPORATE_FINANCE,1
BIOSPECTATOR,바이오스펙테이터,INDUSTRY,B,46,86,90,SECONDARY,BIO|CLINICAL|TECH_TRANSFER,1
DAILYPHARM,데일리팜,INDUSTRY,B,47,84,86,SECONDARY,PHARMA|APPROVAL|DRUG_PRICE,1
ENERGY_ECON,에너지경제,INDUSTRY,B,48,80,85,SECONDARY,NUCLEAR|POWER_GRID|OFFSHORE_WIND|ESS,1
