source_id,material_type,weight
DART,ORDER_CONTRACT,1.0
DART,MNA,1.0
DART,CAPEX,1.0
DART,CAPITAL_RAISE,1.0
KIND,DISCLOSURE,1.0
KIND,MARKET_NOTICE,1.0
MOTIR,SEMICONDUCTOR,0.95
MOTIR,BATTERY,1.0
MOTIR,OFFSHORE_WIND,1.0
MOTIR,SHIPBUILDING,0.95
MSIT,AI,1.0
MSIT,DATACENTER,1.0
MSIT,QUANTUM,1.0
MSIT,SPACE,0.95
MCEE,OFFSHORE_WIND,1.0
MCEE,POWER_GRID,1.0
MCEE,ESS,1.0
MFDS,BIO_APPROVAL,1.0
MFDS,MEDICAL_DEVICE,1.0
DAPA,DEFENSE,1.0
FSC,FINANCE_POLICY,1.0
MOIP,PATENT,1.0
BIOSPECTATOR,BIO,0.9
DEALSITE,MNA,0.9
ENERGY_ECON,ENERGY,0.85
