Ticker,Name,Target_Date,Actual_Date,Status,Score,Primary_Signal,Reasons,Warnings,Close,Uptrend_HH_HL,Pullback_Pct,Prior_Low_Held,Channel_Coverage,Channel_Position,Recent_Lower_Touch,Channel_Lower,Channel_Mid,Prior_High_Target,Channel_Upper,Stop_Price,Room_To_Mid_Pct,Room_To_Upper_Pct,Double_Bottom,Double_Bottom_Confirmed,MA_Clustered,MA_Spread_Pct,MA_Reclaimed,MA5_Held,Bottom_Volume_Surge,Reference_Date,Reference_Low_Held,Reference_High_Break,Reference_Volume_Ratio,Requested_Range_Start,Requested_Range_End,Forward_Entry_Close,Forward_Available_Bars,Forward_Complete_20D,D+1_Close_Return_Pct,D+1_Close,D+1_Date,D+2_Close_Return_Pct,D+2_Close,D+2_Date,D+3_Close_Return_Pct,D+3_Close,D+3_Date,D+4_Close_Return_Pct,D+4_Close,D+4_Date,D+5_Close_Return_Pct,D+5_Close,D+5_Date,D+6_Close_Return_Pct,D+6_Close,D+6_Date,D+7_Close_Return_Pct,D+7_Close,D+7_Date,D+8_Close_Return_Pct,D+8_Close,D+8_Date,D+9_Close_Return_Pct,D+9_Close,D+9_Date,D+10_Close_Return_Pct,D+10_Close,D+10_Date,D+11_Close_Return_Pct,D+11_Close,D+11_Date,D+12_Close_Return_Pct,D+12_Close,D+12_Date,D+13_Close_Return_Pct,D+13_Close,D+13_Date,D+14_Close_Return_Pct,D+14_Close,D+14_Date,D+15_Close_Return_Pct,D+15_Close,D+15_Date,D+16_Close_Return_Pct,D+16_Close,D+16_Date,D+17_Close_Return_Pct,D+17_Close,D+17_Date,D+18_Close_Return_Pct,D+18_Close,D+18_Date,D+19_Close_Return_Pct,D+19_Close,D+19_Date,D+20_Close_Return_Pct,D+20_Close,D+20_Date,Forward_Last_Date,Max_Close_Return_20D_Pct,Min_Close_Return_20D_Pct,MFE_20D_Pct,MAE_20D_Pct,Positive_D20,Hit_Mid_Before_Stop,Hit_PriorHigh_Before_Stop,Hit_Upper_Before_Stop,Stop_Hit,First_Event,Exit_Date
009150,삼성전기,2026-08-21,2026-08-21,WATCH,60,LOWER_CHANNEL_WATCH,중기 Higher High + Higher Low | 상승추세 안의 단기 조정 + 전저점 유지 | 상승 평행채널 유효(커버리지 91%) | 최근 추세 하단(싼 구간) 접촉 | 현재도 채널 하단권 | 추세 하단 부근 쌍바닥/Higher-Low 형태,,1316000.0,True,17.75,True,0.9091,0.1939,True,1240823.5294,1434647.0588,1600000.0,1628470.5882,1203598.8235,9.02,23.74,True,False,False,26.01,False,False,False,,False,False,,2026-08-01,2026-08-21,1316000.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207940,삼성바이오로직스,2026-08-18,2026-08-18,WATCH,60,LOWER_CHANNEL_WATCH,중기 Higher High + Higher Low | 상승추세 안의 단기 조정 + 전저점 유지 | 상승 평행채널 유효(커버리지 100%) | 최근 추세 하단(싼 구간) 접촉 | 추세 하단 부근 쌍바닥/Higher-Low 형태 | 쌍바닥 넥라인 돌파 확인,,1531000.0,True,5.96,True,1.0,0.4734,True,1431191.4894,1536617.0213,1628000.0,1642042.5532,1388255.7447,0.37,7.25,True,True,False,9.73,False,False,False,,False,False,,2026-08-01,2026-08-21,1531000.0,3,0,0.849,1544000.0,2026-08-19,2.809,1574000.0,2026-08-20,1.306,1551000.0,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-21,2.809,0.849,7.446,-2.939,,1.0,1.0,0.0,0.0,TIMEOUT,2026-08-21
207940,삼성바이오로직스,2026-08-19,2026-08-19,WATCH,60,LOWER_CHANNEL_WATCH,중기 Higher High + Higher Low | 상승추세 안의 단기 조정 + 전저점 유지 | 상승 평행채널 유효(커버리지 100%) | 최근 추세 하단(싼 구간) 접촉 | 추세 하단 부근 쌍바닥/Higher-Low 형태 | 쌍바닥 넥라인 돌파 확인,,1544000.0,True,5.16,True,1.0,0.5128,True,1435872.3404,1541297.8723,1628000.0,1646723.4043,1392796.1702,-0.18,6.65,True,True,False,8.65,False,False,False,,False,False,,2026-08-01,2026-08-21,1544000.0,2,0,1.943,1574000.0,2026-08-20,0.453,1551000.0,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-21,1.943,0.453,6.541,-0.907,,,1.0,0.0,0.0,TIMEOUT,2026-08-21
207940,삼성바이오로직스,2026-08-20,2026-08-20,WATCH,70,LOWER_CHANNEL_WATCH,중기 Higher High + Higher Low | 상승추세 안의 단기 조정 + 전저점 유지 | 상승 평행채널 유효(커버리지 100%) | 최근 추세 하단(싼 구간) 접촉 | 추세 하단 부근 쌍바닥/Higher-Low 형태 | 쌍바닥 넥라인 돌파 확인 | 이동평균선 재돌파 | 재상승 후 5일선 지지,,1574000.0,True,4.32,True,1.0,0.6329,True,1440553.1915,1545978.7234,1628000.0,1651404.2553,1397336.5957,-1.78,4.92,True,True,False,8.63,True,True,False,,False,False,,2026-08-01,2026-08-21,1574000.0,1,0,-1.461,1551000.0,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-21,-1.461,-1.461,-0.635,-2.795,,,0.0,0.0,0.0,TIMEOUT,2026-08-21
207940,삼성바이오로직스,2026-08-21,2026-08-21,WATCH,70,LOWER_CHANNEL_WATCH,중기 Higher High + Higher Low | 상승추세 안의 단기 조정 + 전저점 유지 | 상승 평행채널 유효(커버리지 100%) | 최근 추세 하단(싼 구간) 접촉 | 추세 하단 부근 쌍바닥/Higher-Low 형태 | 쌍바닥 넥라인 돌파 확인 | 이동평균선 재돌파 | 재상승 후 5일선 지지,,1551000.0,True,5.71,True,1.0,0.5016,True,1445234.0426,1550659.5745,1628000.0,1656085.1064,1401877.0213,-0.02,6.78,True,True,False,8.46,True,True,False,,False,False,,2026-08-01,2026-08-21,1551000.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034730,SK,2026-08-12,2026-08-12,WATCH,60,LOWER_CHANNEL_WATCH,중기 Higher High + Higher Low | 상승추세 안의 단기 조정 + 전저점 유지 | 상승 평행채널 유효(커버리지 96%) | 최근 추세 하단(싼 구간) 접촉 | 현재도 채널 하단권 | 추세 하단 부근 쌍바닥/Higher-Low 형태,,545000.0,True,19.02,True,0.9565,0.2713,True,494666.6667,587444.4444,673000.0,680222.2222,479826.6667,7.79,24.81,True,False,False,19.2,False,True,False,,False,False,,2026-08-01,2026-08-21,545000.0,6,0,1.468,553000.0,2026-08-13,7.339,585000.0,2026-08-14,8.257,590000.0,2026-08-18,1.101,551000.0,2026-08-19,4.22,568000.0,2026-08-20,7.523,586000.0,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-21,8.257,1.101,13.761,-1.835,,1.0,0.0,0.0,0.0,TIMEOUT,2026-08-21
034730,SK,2026-08-13,2026-08-13,WATCH,60,LOWER_CHANNEL_WATCH,중기 Higher High + Higher Low | 상승추세 안의 단기 조정 + 전저점 유지 | 상승 평행채널 유효(커버리지 96%) | 최근 추세 하단(싼 구간) 접촉 | 현재도 채널 하단권 | 추세 하단 부근 쌍바닥/Higher-Low 형태,,553000.0,True,17.83,True,0.9583,0.3114,True,495222.2222,588000.0,673000.0,680777.7778,480365.5556,6.33,23.11,True,False,False,17.4,False,True,False,,False,False,,2026-08-01,2026-08-21,553000.0,5,0,5.787,585000.0,2026-08-14,6.691,590000.0,2026-08-18,-0.362,551000.0,2026-08-19,2.712,568000.0,2026-08-20,5.967,586000.0,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-21,6.691,-0.362,12.116,-3.255,,1.0,0.0,0.0,0.0,TIMEOUT,2026-08-21
055550,신한지주,2026-08-18,2026-08-18,WATCH,73,LOWER_CHANNEL_WATCH,중기 Higher High + Higher Low | 상승추세 안의 단기 조정 + 전저점 유지 | 상승 평행채널 유효(커버리지 98%) | 최근 추세 하단(싼 구간) 접촉 | 추세 하단 부근 쌍바닥/Higher-Low 형태 | 이동평균선 밀집 | 이동평균선 재돌파 | 재상승 후 5일선 지지,,106500.0,True,3.45,True,0.9804,0.7336,True,95847.7273,103107.9545,110300.0,110368.1818,100589.0,-3.19,3.63,True,False,True,3.74,True,True,False,,False,False,,2026-08-01,2026-08-21,106500.0,3,0,-1.408,105000.0,2026-08-19,-5.07,101100.0,2026-08-20,-2.254,104100.0,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-21,-1.408,-5.07,-0.939,-5.164,,,0.0,0.0,0.0,TIMEOUT,2026-08-21
055550,신한지주,2026-08-19,2026-08-19,WATCH,63,LOWER_CHANNEL_WATCH,중기 Higher High + Higher Low | 상승추세 안의 단기 조정 + 전저점 유지 | 상승 평행채널 유효(커버리지 98%) | 최근 추세 하단(싼 구간) 접촉 | 추세 하단 부근 쌍바닥/Higher-Low 형태 | 이동평균선 밀집,,105000.0,True,4.81,True,0.9808,0.6295,True,95859.0909,103119.3182,110300.0,110379.5455,100589.0,-1.79,5.12,True,False,True,3.73,False,False,False,,False,False,,2026-08-01,2026-08-21,105000.0,2,0,-3.714,101100.0,2026-08-20,-0.857,104100.0,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-21,-0.857,-3.714,0.19,-3.81,,,0.0,0.0,0.0,TIMEOUT,2026-08-21
055550,신한지주,2026-08-20,2026-08-20,WATCH,63,LOWER_CHANNEL_WATCH,중기 Higher High + Higher Low | 상승추세 안의 단기 조정 + 전저점 유지 | 상승 평행채널 유효(커버리지 98%) | 최근 추세 하단(싼 구간) 접촉 | 추세 하단 부근 쌍바닥/Higher-Low 형태 | 이동평균선 밀집,,101100.0,True,8.34,True,0.9811,0.3602,True,95870.4545,103130.6818,110300.0,110390.9091,100589.0,2.01,9.19,True,False,True,3.29,False,False,False,,False,False,,2026-08-01,2026-08-21,101100.0,1,0,2.967,104100.0,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-21,2.967,2.967,3.561,-0.099,,1.0,0.0,0.0,0.0,TIMEOUT,2026-08-21
