event_id,market_date,ticker,name,relation_type,relation_weight,mapping_relevance,link_confidence,theme,theme_materiality_score,material_score,material_status,ticker_material_score,positive_negative,novelty_status,event_type,event_stage,companies,direct_stock_codes,event_title,event_summary,link_reason,evidence,link_version,reference_signature
EV_ef4cdb07a915eae6,20260914,038060,루멘스,DIRECT,1.0,1.0,100.0,,0.0,93.0,STRONG,93.0,NEGATIVE,NEW_EVENT,SANCTION,CONFIRMED,루멘스,38060.0,"기타시장안내(관리종목지정우려종목) (주가 1,000원 미달)","기타시장안내(관리종목지정우려종목) (주가 1,000원 미달)",stock code directly identified by EventExtractor,event stock_code=038060,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_a7e46090a44832b7,20260914,210120,캔버스엔,DIRECT,1.0,1.0,100.0,,0.0,89.0,STRONG,89.0,NEGATIVE,NEW_EVENT,SANCTION,CONFIRMED,캔버스엔,210120.0,불성실공시법인지정예고 (공시변경 3건),불성실공시법인지정예고 (공시변경 3건),stock code directly identified by EventExtractor,event stock_code=210120,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_5864e31d5f98419e,20260914,101000,KS인더스트리,DIRECT,1.0,1.0,98.0,,0.0,84.0,CONFIRMED,84.0,NEUTRAL,NEW_EVENT,CAPITAL_RAISE,CONFIRMED,ks인더스트리,,전환사채권발행결정(제19회차),전환사채권발행결정(제19회차),exact company/alias match in ticker master,company=ks인더스트리,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_41fe0e8c2b015437,20260914,002990,금호건설,DIRECT,1.0,1.0,100.0,,0.0,82.0,CONFIRMED,82.0,POSITIVE,NEW_EVENT,ORDER_CONTRACT,CONFIRMED,금호건설,2990.0,[기재정정]단일판매ㆍ공급계약체결,[기재정정]단일판매ㆍ공급계약체결,stock code directly identified by EventExtractor,event stock_code=002990,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_f7faa7706db69152,20260914,002420,우양피앤엘,DIRECT,1.0,1.0,100.0,,0.0,82.0,CONFIRMED,82.0,NEUTRAL,NEW_EVENT,MNA,CONFIRMED,우양피앤엘,2420.0,영업양수결정(종속회사의주요경영사항),영업양수결정(종속회사의주요경영사항),stock code directly identified by EventExtractor,event stock_code=002420,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_23b9c8b7e44d680a,20260914,006260,ls,DIRECT,1.0,1.0,100.0,,0.0,79.0,CONFIRMED,79.0,NEUTRAL,NEW_EVENT,CAPITAL_RAISE,CONFIRMED,ls,6260.0,[기재정정]교환사채권발행결정,[기재정정]교환사채권발행결정,stock code directly identified by EventExtractor,event stock_code=006260,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_b8a1b403838288ce,20260914,119830,아이텍,DIRECT,1.0,1.0,100.0,,0.0,79.0,CONFIRMED,79.0,NEUTRAL,NEW_EVENT,CAPITAL_RAISE,CONFIRMED,아이텍,119830.0,기타주요경영사항 (제3자배정 유상증자 결정 철회),기타주요경영사항 (제3자배정 유상증자 결정 철회),stock code directly identified by EventExtractor,event stock_code=119830,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_e95253b8b606c01c,20260914,351320,넥사다이내믹스,DIRECT,1.0,1.0,100.0,,0.0,78.0,CONFIRMED,78.0,NEGATIVE,NEW_EVENT,SANCTION,CONFIRMED,넥사다이내믹스,351320.0,불성실공시법인지정예고 (공시변경),불성실공시법인지정예고 (공시변경),stock code directly identified by EventExtractor,event stock_code=351320,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_497af7c0a40798e1,20260914,203400,에이비온,DIRECT,1.0,1.0,100.0,,0.0,78.0,CONFIRMED,78.0,NEGATIVE,NEW_EVENT,SANCTION,CONFIRMED,에이비온,203400.0,불성실공시법인지정예고 (공시불이행),불성실공시법인지정예고 (공시불이행),stock code directly identified by EventExtractor,event stock_code=203400,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_dfe6f20f83429159,20260914,475240,하나32호스팩,DIRECT,1.0,1.0,100.0,,0.0,78.0,CONFIRMED,78.0,NEGATIVE,NEW_EVENT,SANCTION,CONFIRMED,하나32호스팩,475240.0,기타시장안내(관리종목지정우려종목),기타시장안내(관리종목지정우려종목),stock code directly identified by EventExtractor,event stock_code=475240,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
